internal_ID,RA,Dec,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade,Grade_by_LR,NUM_OF_IMG,in_KLQ,in_D22,in_L22,Grade_by_D22,Classification_by_L22,q,phi,rein,minimised_chi2,BIC,NOTE
10944666,22.4716056,-26.09840577,0.94,0.83,3.075322819,3.075322819,3.075322819,C,A,2,0,0,0,,,,,,,,
10945305,41.87641072,-26.77293043,0.97,0.76,0.612366406,0.612366364,0.612366385,A,A,2,0,1,1,B,lens,,,,,,
10946144,20.53862318,-27.64030961,0.96,0.7,2.46450057,2.46450057,2.46450057,B,A,2,0,0,0,,,,,,,,
10946257,46.78088685,-27.77242569,0.87,0.62,4.681838786,0.825821971,2.753830378,C,C,3,0,1,0,B,,,,,,,
11010519,47.37897997,-37.02808158,0.9,0.76,2.161221819,2.161221819,2.161221819,B,A,2,0,1,0,C,,,,,,,
11011490,359.070568,-37.65489386,0.87,0.73,2.00231226,2.00231226,2.00231226,B,C,2,0,0,0,,,,,,,,
11014767,63.6490782,-39.34523494,0.97,0.73,1.101388438,1.101388438,1.101388438,C,C,2,0,0,0,,,,,,,,
11015444,355.4494039,-39.57753537,0.98,0.53,2.575601744,2.575601744,2.575601744,C,C,2,0,0,0,,,,,,,,
11016399,343.1426431,-39.94859982,0.96,0.86,2.263002762,2.263002762,2.263002762,B,B,2,0,1,0,C,,,,,,,
11016668,348.9009766,-40.07546328,0.97,0.69,2.514612907,2.514612907,2.514612907,C,A,2,0,0,0,,,,,,,,
11016987,346.8865708,-40.2295408,0.97,0.84,2.291405645,2.291405645,2.291405645,B,B,2,0,0,0,,,,,,,,
11018844,23.8861801,-41.0065676,0.98,0.76,1.921431886,1.921431886,1.921431886,A,A,2,0,0,0,,,,,,,,
11018927,87.91243136,-41.05517428,0.88,0.67,3.17053283,3.17053283,3.17053283,C,C,2,0,1,0,A,,,,,,,
11018993,43.63996888,-41.08276615,0.88,0.87,2.581429851,2.581429851,2.581429851,C,C,2,0,0,0,,,,,,,,
11019072,331.007231,-41.11619609,0.99,0.92,1.989155146,1.989155146,1.989155146,A,A,2,0,0,0,,,,,,,,
11019912,78.91385798,-41.5313574,0.97,0.58,1.360280682,1.360280682,1.360280682,A,C,2,0,0,0,,,,,,,,
11020661,81.39956829,-41.89608354,0.98,0.69,0.708506932,0.708506932,0.708506932,A,C,2,0,0,0,,,,,,,,
11020910,329.3068654,-42.03033701,0.9,0.66,1.803409434,1.803409434,1.803409434,A,C,2,0,1,0,B,,,,,,,
11021053,39.21273168,-42.10153396,0.92,0.7,1.664098384,1.664098384,1.664098384,C,B,2,0,0,0,,,,,,,,
11021604,16.90728812,-42.40519948,0.97,0.88,2.24960119,2.24960119,2.24960119,C,C,2,0,1,0,B,,,,,,,
